0 0 0 0 0 0 0 0.0269663 0.0269663
0.005 0 0 0 0 0 0 0.0527752 0.0527752
0.01 0 0 0 0 0 0 0.0763677 0.0763677
0.015 0 0 0 0 0 0 0.0968718 0.0968718
0.02 0 0 0 0 0 0 0.113674 0.113674
0.025 0 0 0 0 0 0 0.126468 0.126468
0.03 0 0 0 0 0 0 0.135271 0.135271
0.035 0 0 0 0 0 0 0.140417 0.140417
0.04 0 0 0 0 0 0 0.142514 0.142514
0.045 0 0 0 0 0 0 0.142386 0.142386
0.05 0 0 0 0 0 0 0.140989 0.14099
0.055 0 0 0 0 0 0 0.139325 0.139326
0.06 0 0 0 0 0 0 0.138347 0.13835
0.065 0 0 0 0 0 0 0.138882 0.138889
0.07 0 0 0 0 0 0 0.141563 0.141577
0.075 0 0 0 0 0 0 0.146781 0.146809
0.08 0 0 0 0 0 0 0.154669 0.154721
0.085 0 0 0 0 0 0 0.165106 0.165199
0.09 0 0 0 0 0 0 0.177747 0.177908
0.095 0 0 0 0 0 0 0.192077 0.192345
0.1 0 0 0 0 0 0 0.207472 0.207903
0.105 0 0 0 0 0 0 0.223274 0.223946
0.11 0 0 0 0 0 0 0.238861 0.23988
0.115 0 0 0 0 0 0 0.253707 0.255215
0.12 0 0 0 0 0 0 0.267438 0.269615
0.125 0 0 0 0 0 0 0.279853 0.282927
0.13 0 0 0 0 0 0 0.290938 0.29519
0.135 0 0 0 0 0 0 0.300853 0.306619
0.14 0 0 0 0 0 0 0.309896 0.317573
0.145 0 0 0 0 0 0 0.318461 0.328508
0.15 0 0 0 0 0 0 0.326985 0.339919
0.155 0 0 0 0 0 0 0.335888 0.352283
0.16 0 0 0 0 0 0 0.345526 0.366003
0.165 0 0 0 0 0 0 0.35615 0.381371
0.17 0 0 0 0 0 0 0.367881 0.398534
0.175 0 0 0 0 0 0 0.380707 0.417492
0.18 0 0 0 0 0 0 0.39449 0.438107
0.185 0 0 0 0 0 0 0.409001 0.46013
0.19 0 0 0 0 0 0 0.423952 0.48324
0.195 0 0 0 0 0 0 0.439047 0.507095
0.2 0 0 0 0 0 0 0.45403 0.531379
0.205 0 0 0 0 0 0 0.468721 0.555847
0.21 0 0 0 0 0 0 0.483049 0.58036
0.215 0 0 0 0 0 0 0.497064 0.604902
0.22 0 0 0 0 0 0 0.510942 0.629587
0.225 0 0 0 0 0 0 0.524962 0.654645
0.23 0 0 0 0 0 0 0.539479 0.6804
0.235 0 0 0 0 0 0 0.554888 0.707231
0.24 0 0 0 0 0 0 0.571578 0.735539
0.245 0 0 0 0 0 0 0.589898 0.7657
0.25 0 0 0 0 0 0 0.610116 0.798039
0.255 0 0 0 0 0 0 0.632403 0.8328
0.26 0 0 0 0 0 0 0.656817 0.870131
0.265 0 0 0 0 0 0 0.683308 0.910087
0.27 0 0 0 0 0 0 0.711729 0.952635
0.275 0 0 0 0 0 0 0.741865 0.997674
0.28 0 0 0 0 0 0 0.773459 1.04506
0.285 0 0 0 0 0 0 0.806249 1.09463
0.29 0 0 0 0 0 0 0.84 1.14626
0.295 0 0 0 0 0 0 0.874532 1.19982
0.3 0 0 0 0 0 0 0.909741 1.2553
0.305 0 0 0 0 0 0 0.945617 1.31271
0.31 0 0 0 0 0 0 0.982241 1.37218
0.315 0 0 0 0 0 0 1.01978 1.43389
