0.154 0.0289201 0.0250485 0 0 0 0 0 0 0 0 0 0
0.156 0.029669 0.0255927 0 0 0 0 0 0 0 0 0 0
0.158 0.0304292 0.0261424 0 0 0 0 0 0 0 0 0 0
0.16 0.0312 0.0266969 0 0 0 0 0 0 0 0 0 0
0.162 0.031981 0.0272559 0 0 0 0 0 0 0 0 0 0
0.164 0.0327721 0.0278189 0 0 0 0 0 0 0 0 0 0
0.166 0.0335737 0.028386 0 0 0 0 0 0 0 0 0 0
0.168 0.0343865 0.0289573 0 0 0 0 0 0 0 0 0 0
0.17 0.0352117 0.0295332 0 0 0 0 0 0 0 0 0 0
0.172 0.0360507 0.0301144 0 0 0 0 0 0 0 0 0 0
0.174 0.0369052 0.0307016 0 0 0 0 0 0 0 0 0 0
0.176 0.0377768 0.0312956 0 0 0 0 0 0 0 0 0 0
0.178 0.0386672 0.0318974 0 0 0 0 0 0 0 0 0 0
0.18 0.0395782 0.0325078 0 0 0 0 0 0 0 0 0 0
0.182 0.0405111 0.0331279 0 0 0 0 0 0 0 0 0 0
0.184 0.0414671 0.0337586 0 0 0 0 0 0 0 0 0 0
0.186 0.042447 0.0344005 0 0 0 0 0 0 0 0 0 0
0.188 0.0434513 0.0350544 0 0 0 0 0 0 0 0 0 0
0.19 0.04448 0.0357209 0 0 0 0 0 0 0 0 0 0
0.192 0.045533 0.0364001 0 0 0 0 0 0 0 0 0 0
0.194 0.0466097 0.0370924 0 0 0 0 0 0 0 0 0 0
0.196 0.0477094 0.0377975 0 0 0 0 0 0 0 0 0 0
0.198 0.0488313 0.0385153 0 0 0 0 0 0 0 0 0 0
0.2 0.0499744 0.0392453 0 0 0 0 0 0 0 0 0 0
0.202 0.051138 0.0399869 0 0 0 0 0 0 0 0 0 0
0.204 0.0523215 0.0407394 0 0 0 0 0 0 0 0 0 0
0.206 0.0535245 0.041502 0 0 0 0 0 0 0 0 0 0
0.208 0.0547469 0.0422741 0 0 0 0 0 0 0 0 0 0
0.21 0.0559889 0.043055 0 0 0 0 0 0 0 0 0 0
0.212 0.0572513 0.0438443 0 0 0 0 0 0 0 0 0 0
0.214 0.0585349 0.044642 0 0 0 0 0 0 0 0 0 0
0.216 0.0598409 0.0454482 0 0 0 0 0 0 0 0 0 0
0.218 0.061171 0.0462634 0 0 0 0 0 0 0 0 0 0
0.22 0.0625266 0.0470885 0 0 0 0 0 0 0 0 0 0
0.222 0.0639095 0.0479247 0 0 0 0 0 0 0 0 0 0
0.224 0.0653215 0.0487731 0 0 0 0 0 0 0 0 0 0
0.226 0.0667639 0.0496354 0 0 0 0 0 0 0 0 0 0
0.228 0.0682382 0.050513 0 0 0 0 0 0 0 0 0 0
0.23 0.0697455 0.0514072 0 0 0 0 0 0 0 0 0 0
0.232 0.0712865 0.0523192 0 0 0 0 0 0 0 0 0 0
0.234 0.0728618 0.0532499 0 0 0 0 0 0 0 0 0 0
0.236 0.0744713 0.0541998 0 0 0 0 0 0 0 0 0 0
0.238 0.076115 0.0551692 0 0 0 0 0 0 0 0 0 0
0.24 0.0777923 0.0561576 0 0 0 0 0 0 0 0 0 0
0.242 0.0795027 0.0571648 0 0 0 0 0 0 0 0 0 0
0.244 0.0812454 0.0581898 0 0 0 0 0 0 0 0 0 0
0.246 0.0830195 0.0592317 0 0 0 0 0 0 0 0 0 0
0.248 0.0848244 0.0602896 0 0 0 0 0 0 0 0 0 0
0.25 0.0866594 0.0613624 0 0 0 0 0 0 0 0 0 0
