-7450 50 9999.9
-7350 50 9999.9
-7250 50 9999.9
-7150 50 9999.9
-7050 50 9999.9
-6950 50 9999.9
-6850 50 9999.9
-6750 50 9999.9
-6650 50 9999.9
-6550 50 9999.9
-6450 50 9999.9
-6350 50 9999.9
-6250 50 9999.9
-6150 50 9999.9
-6050 50 9999.9
-5950 50 2.84
-5850 50 2.815
-5750 50 2.785
-5650 50 2.465
-5550 50 2.43
-5450 50 2.4
-5350 50 2.375
-5250 50 2.35
-5150 50 2.32
-5050 50 2.3
-4950 50 2.275
-4850 50 2.25
-4750 50 2.225
-4650 50 2.205
-4550 50 2.18
-4450 50 2.16
-4350 50 2.135
-4250 50 2.115
-4150 50 2.09
-4050 50 2.07
-3950 50 2.045
-3850 50 2.025
-3750 50 2.005
-3650 50 1.985
-3550 50 1.96
-3450 50 1.94
-3350 50 1.92
-3250 50 1.895
-3150 50 1.875
-3050 50 1.855
-2950 50 1.835
-2850 50 1.81
-2750 50 1.79
-2650 50 1.77
-2550 50 1.75
-2450 50 1.73
-2350 50 1.705
-2250 50 1.685
-2150 50 1.665
-2050 50 1.645
-1950 50 1.625
-1850 50 1.605
-1750 50 1.585
-1650 50 1.565
-1550 50 1.545
-1450 50 1.53
-1350 50 1.51
-1250 50 1.495
-1150 50 1.475
-1050 50 1.46
-950 50 1.45
-850 50 1.435
-750 50 1.42
-650 50 1.41
-550 50 1.4
-450 50 1.395
-350 50 1.39
-250 50 1.385
-150 50 1.375
-50 50 1.375
50 50 1.375
150 50 1.375
250 50 1.385
350 50 1.39
450 50 1.395
550 50 1.4
650 50 1.41
750 50 1.42
850 50 1.435
950 50 1.45
1050 50 1.46
1150 50 1.475
1250 50 1.495
1350 50 1.51
1450 50 1.53
1550 50 1.545
1650 50 1.565
1750 50 1.585
1850 50 1.605
1950 50 1.625
2050 50 1.645
2150 50 1.665
2250 50 1.685
2350 50 1.705
2450 50 1.73
2550 50 1.75
2650 50 1.77
2750 50 1.79
2850 50 1.81
2950 50 1.835
3050 50 1.855
3150 50 1.875
3250 50 1.895
3350 50 1.92
3450 50 1.94
3550 50 1.96
3650 50 1.985
3750 50 2.005
3850 50 2.025
3950 50 2.045
4050 50 2.07
4150 50 2.09
4250 50 2.115
4350 50 2.135
4450 50 2.16
4550 50 2.18
4650 50 2.205
4750 50 2.225
4850 50 2.25
4950 50 2.275
5050 50 2.3
5150 50 2.32
5250 50 2.35
5350 50 2.375
5450 50 2.4
5550 50 2.43
5650 50 2.465
5750 50 2.785
5850 50 2.815
5950 50 2.84
6050 50 9999.9
6150 50 9999.9
6250 50 9999.9
6350 50 9999.9
6450 50 9999.9
6550 50 9999.9
6650 50 9999.9
6750 50 9999.9
6850 50 9999.9
6950 50 9999.9
7050 50 9999.9
7150 50 9999.9
7250 50 9999.9
7350 50 9999.9
7450 50 9999.9
-7450 150 9999.9
-7350 150 9999.9
-7250 150 9999.9
-7150 150 9999.9
-7050 150 9999.9
-6950 150 9999.9
-6850 150 9999.9
-6750 150 9999.9
-6650 150 9999.9
-6550 150 9999.9
-6450 150 9999.9
-6350 150 9999.9
-6250 150 9999.9
-6150 150 9999.9
-6050 150 9999.9
-5950 150 2.845
-5850 150 2.815
-5750 150 2.78
-5650 150 2.75
-5550 150 2.44
-5450 150 2.41
-5350 150 2.38
-5250 150 2.355
-5150 150 2.33
-5050 150 2.305
-4950 150 2.28
-4850 150 2.255
-4750 150 2.23
-4650 150 2.21
-4550 150 2.185
-4450 150 2.16
-4350 150 2.14
-4250 150 2.115
-4150 150 2.095
-4050 150 2.075
-3950 150 2.05
-3850 150 2.03
-3750 150 2.01
-3650 150 1.985
-3550 150 1.965
-3450 150 1.94
-3350 150 1.92
-3250 150 1.9
-3150 150 1.88
-3050 150 1.855
-2950 150 1.835
-2850 150 1.815
-2750 150 1.795
-2650 150 1.77
-2550 150 1.75
-2450 150 1.73
-2350 150 1.71
-2250 150 1.685
-2150 150 1.665
-2050 150 1.64
-1950 150 1.62
-1850 150 1.595
-1750 150 1.57
-1650 150 1.55
-1550 150 1.525
-1450 150 1.505
-1350 150 1.49
-1250 150 1.47
-1150 150 1.45
-1050 150 1.43
-950 150 1.415
